capacity,highlights,location,phone,url,venue_name
[150],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","1 Great Bear Court,East Stroudsburg, PA 18302",[5702232000],https://www.wedding-spot.com/venue/4202/great-bear-golf-club/,Great Bear Golf Club
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","101 Doe Mountain Lane,Macungie, PA 18062",[8667542822],https://www.wedding-spot.com/venue/799/bear-creek-mountain-resort/,Bear Creek Mountain Resort
[270],"Award winner,Indoor and outdoor spaces,Valet parking","211 South Columbus Boulevard,Philadelphia, PA 19106",[6097842554],https://www.wedding-spot.com/venue/827/independence-seaport-museum/,Independence Seaport Museum
[100],"BYO,Valet parking,BYO","63 Flushing Avenue,Building #3 - Roof",[3476703660],https://www.wedding-spot.com/venue/5681/brooklyn-grange-farm/,Brooklyn Grange Farm
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","1100 Country Club Road,West Chester, PA 19382",[6107931660],https://www.wedding-spot.com/venue/843/radley-run-country-club/,Radley Run Country Club
[400],"Indoor and outdoor spaces,Rentals included,Indoor and outdoor spaces","Central Park West & 67th Street,New York, NY 10023",[6463782627],https://www.wedding-spot.com/venue/11012/tavern-on-the-green/,Tavern on The Green
[250],"Indoor and outdoor spaces,BYO,Valet parking","1461 Schoenersville Road,Bethlehem, PA 18018",[6108820450],https://www.wedding-spot.com/venue/6206/burnside-plantation/,Burnside Plantation
[120],"Upgraded rentals included,Rentals included,Valet parking","35 East 76th Street,New York, NY 10021",[2125707123],https://www.wedding-spot.com/venue/4581/the-carlyle-a-rosewood-hotel/,"The Carlyle, A Rosewood Hotel"
[325],"Indoor and outdoor spaces,Rentals included,Valet parking","150 McCloskey Road,Flourtown, PA 19031",[2152331550],https://www.wedding-spot.com/venue/795/flourtown-country-club/,Flourtown Country Club
[500],"Indoor and outdoor spaces,Rentals included,Indoor and outdoor spaces","310 West Broadway,New York, NY 10013",[2129653463],https://www.wedding-spot.com/venue/1731/soho-grand-hotel/,Soho Grand Hotel
[500],"BYO,Valet parking,BYO","400 Pennsbury Memorial Road,Morrisville, PA 19067",[2159460400],https://www.wedding-spot.com/venue/3649/pennsbury-manor/,Pennsbury Manor
[200],"BYO,Valet parking,BYO","4601 N 18th Street,Philadelphia, PA 19140",[2153297312],https://www.wedding-spot.com/venue/6263/stenton-museum/,Stenton Museum
[350],"Valet parking,Valet parking","412 Pine Street,Philadelphia, PA 19106",[2159258051],https://www.wedding-spot.com/venue/3406/old-pine-street-church/,Old Pine Street Church
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","93 Country Club Drive,Downingtown, PA 19335",[6108730800],https://www.wedding-spot.com/venue/828/ron-jaworskis-downingtown-country-club/,Ron Jaworski's Downingtown Country Club
[150],"Rentals included,Valet parking,Rentals included"," 212 Walnut Street,Floor 2",[8566637887],https://www.wedding-spot.com/venue/12682/positano-coast-by-aldo-lamberti/,Positano Coast by Aldo Lamberti
[250],"Indoor and outdoor spaces,Rentals included,Indoor and outdoor spaces","850 Paxon Hollow Road,Broomall, PA 19008",[6103530220],https://www.wedding-spot.com/venue/4197/anthonys-at-paxon-hollow-country-club/,Anthony's at Paxon Hollow Country Club
[100],"Indoor and outdoor spaces,Upgraded rentals included,Valet parking","48 South 4th Street,Brooklyn, NY 11249",[9146100150],https://www.wedding-spot.com/venue/6396/the-woods/,The Woods
[350],"Indoor and outdoor spaces,Rentals included,Valet parking","1 Skytop Lodge Road,Skytop, PA 18357",[5705958939],https://www.wedding-spot.com/venue/5349/skytop-lodge/,Skytop Lodge
[300],"Indoor and outdoor spaces,Rentals included,Valet parking","1017 Dekalb Pike,Ambler, PA 19002",[2156999272],https://www.wedding-spot.com/venue/3330/william-penn-inn/,William Penn Inn
[125],"Rehearsal dinner and bridal shower,Upgraded rentals included,Rentals included","22 Warren Street,New York, NY 10007",[2125772725],https://www.wedding-spot.com/venue/9775/gran-morsi/,Gran Morsi
[140],"Rentals included,Valet parking,Rentals included","60 East 65th Street,New York, NY 10065",[2129335261],https://www.wedding-spot.com/venue/267/daniel/,DANIEL
[300],"Valet parking,Valet parking","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13604/chapel/,Chapel
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","433 Chestnut Street,Philadelphia, PA 19106",[2673869502],https://www.wedding-spot.com/venue/3414/hotel-monaco-philadelphia/,Hotel Monaco - Philadelphia
[200],"Upgraded rentals included,Rentals included,Valet parking","106 West 73rd Street,New York, NY 10023",[6468583300],https://www.wedding-spot.com/venue/13573/arte-caf%C3%A9/,Arte Café
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","54A Peddler's Village,Lahaska, PA 18931",[2157944078],https://www.wedding-spot.com/venue/8025/peddlers-village/,Peddler's Village
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","413 Maplewood Avenue,Wayne, PA 19087",[6106883553],https://www.wedding-spot.com/venue/3317/wayne-art-center/,Wayne Art Center
[100],"BYO,Valet parking,BYO","828 Broadway,3rd Floor",[2124731452],https://www.wedding-spot.com/venue/5504/strand-book-store/,Strand Book Store
[300],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","157 Game Farm Road,Schwenksville, PA 19473",[6106672123],https://www.wedding-spot.com/venue/10019/camp-kweebec/,Camp Kweebec
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","1 Riverview Place,Easton, PA 18040",[6105599700],https://www.wedding-spot.com/venue/6134/riverview-country-club/,Riverview Country Club
[1500],"Rentals included,Valet parking,Rentals included","1201 Market Street,Philadelphia, PA 19107",[2156256040],https://www.wedding-spot.com/venue/1501/philadelphia-marriott-downtown/,Philadelphia Marriott Downtown
[80],"BYO,BYO","208 West 30th Street,Suite 801",[6466883343],https://www.wedding-spot.com/venue/11714/loft-29/,LOFT 29
[60],"Rentals included,Valet parking,Rentals included","190 Dean St,Brooklyn, NY 11217",[7185763209],https://www.wedding-spot.com/venue/8601/rucola/,Rucola
[300],"Rehearsal dinner and bridal shower,Indoor and outdoor spaces,Upgraded rentals included","1 Fairway Drive,Port Washington, NY 11050",[5167674810],https://www.wedding-spot.com/venue/1342/harbor-links-golf-course/,Harbor Links Golf Course
[500],"Valet parking,Valet parking","2880 Flatbush Avenue,Brooklyn, NY 11234",[7182524625],https://www.wedding-spot.com/venue/10024/marine-park-golf-course/,Marine Park Golf Course
[400],"Indoor and outdoor spaces,BYO,Valet parking","528 W 39th Street,New York, NY 10018",[2122456154],https://www.wedding-spot.com/venue/2351/shop-studios/,Shop Studios
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","2600 York Road,Jamison, PA 18929",[2153430350],https://www.wedding-spot.com/venue/12107/the-bucks-club/,The Bucks Club
[300],,"500 West 36th Street,New York, NY 10018",[2127764065],https://www.wedding-spot.com/venue/9847/hudson-mercantile/,Hudson Mercantile
[150],,"1621-27 Cecil B Moore Avenue,Philadelphia, PA 19121",[9739807600],https://www.wedding-spot.com/venue/9803/tlo-event-complex/,TLO Event Complex
[200],"Valet parking,Valet parking","1426 Chestnut State Suite 28,Philadelphia, PA 19102",[2152460533],https://www.wedding-spot.com/venue/5923/del-friscos-double-eagle-steak-house-philadelphia/,Del Frisco's Double Eagle Steak House Philadelphia
[75],"Rehearsal dinner and bridal shower,Valet parking,Rehearsal dinner and bridal shower","286 Graham Avenue,Brooklyn, NY 11211",[7183887434],https://www.wedding-spot.com/venue/14766/tuffet/,Tuffet
[100],"Rentals included,Valet parking,Rentals included","788 A Union Street,Brooklyn, NY 11215",[7186364800],https://www.wedding-spot.com/venue/1545/scottadito-osteria-toscana/,Scottadito Osteria Toscana
[150],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","54 Thompson Street,New York, NY 10012",[2128786305],https://www.wedding-spot.com/venue/1964/pera-soho/,Pera Soho
[150],"2x award winner,Rentals included,2x award winner","Pier 61 Chelsea Piers,Sky Rink, 2nd Floor",[2123366763],https://www.wedding-spot.com/venue/238/sunset-terrace-at-chelsea-piers/,Sunset Terrace at Chelsea Piers
[100],"BYO,Valet parking,BYO","1315 Spruce Street,Philadelphia, PA 19107",[2157322220],https://www.wedding-spot.com/venue/3424/william-way-lgbt-community-center/,William Way LGBT Community Center
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","653 11th Avenue,Ink48 Hotel",[6465727444],https://www.wedding-spot.com/venue/5463/the-press-lounge/,The Press Lounge
[70],"Rentals included,Valet parking,Rentals included","w 10036,59 West 44th Street",[2128406800],https://www.wedding-spot.com/venue/3264/the-algonquin-hotel-times-square/,The Algonquin Hotel Times Square
[300],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","249 Camp Green Lane Road,Green Lane, PA 18054",[2152349211],https://www.wedding-spot.com/venue/9954/camp-green-lane/,Camp Green Lane
[500],"Indoor and outdoor spaces,Rentals included,Valet parking","171 Jacksonville Road,Ivyland, PA 18974",[2156756000],https://www.wedding-spot.com/venue/867/spring-mill-manor/,Spring Mill Manor
[120],"Rentals included,Valet parking,Rentals included","9461 Roosevelt Boulevard,Philadelphia, PA 19114",[2673506011],https://www.wedding-spot.com/venue/3929/four-points-by-sheraton-philadelphia-northeast/,Four Points by Sheraton Philadelphia Northeast
[50],"Rentals included,Valet parking,Rentals included","360 Park Avenue South,New York, NY 10010",[2128382061],https://www.wedding-spot.com/venue/1739/park-avenue-winter/,Park Avenue Winter
[150],"Valet parking,Valet parking","27 West 24th Street,New York, NY 10010",[2124902100],https://www.wedding-spot.com/venue/5221/junoon/,Junoon
[150],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","355 Country Club Road,Phoenixville, PA 19460",[6109333727],https://www.wedding-spot.com/venue/6163/phoenixville-country-club/,Phoenixville Country Club
[300],"Rentals included,Valet parking,Rentals included","9000 Bartram Avenue,Philadelphia, PA 19153",[2157966015],https://www.wedding-spot.com/venue/3422/embassy-suites-philadelphia-airport/,Embassy Suites Philadelphia Airport
[250],"BYO,Valet parking,BYO","103 Charlton Street,New York, NY 10014",[9174091209],https://www.wedding-spot.com/venue/4847/childrens-museum-of-the-arts-new-york/,Children's Museum of the Arts New York
[120],"Upgraded rentals included,Rentals included,Valet parking","359 Columbus Avenue,New York, NY 10024",[2123310313],https://www.wedding-spot.com/venue/8674/8th-hill-inspired-mediterranean-cuisine/,8th Hill Inspired Mediterranean Cuisine
[250],"Indoor and outdoor spaces,Indoor and outdoor spaces","5630 Sullivan Trail,Easton, PA 18040",[6107598200],https://www.wedding-spot.com/venue/10076/the-loft-at-sawmill-golf-course/,The Loft at Sawmill Golf Course
[1098],"Valet parking,Valet parking","23 N 6th Street,Allentown, PA 18101",[6104327961],https://www.wedding-spot.com/venue/3370/miller-symphony-hall/,Miller Symphony Hall
[300],"BYO,Valet parking,BYO","64th Street and 5th Avenue,New York, NY 10021",[7187413836],https://www.wedding-spot.com/venue/1814/central-park-zoo/,Central Park Zoo
[180],"Indoor and outdoor spaces,Rentals included,Valet parking","3350 Schuylkill Road,Spring City, PA 19475",[6109485566],https://www.wedding-spot.com/venue/1486/spring-hollow-golf-club/,Spring Hollow Golf Club
[120],"Valet parking,Valet parking","28-18 31st Street,Astoria, NY 11102",[7182747474],https://www.wedding-spot.com/venue/3294/don-coqui-astoria/,Don Coqui Astoria
[300],"Indoor and outdoor spaces,Upgraded rentals included,Valet parking","150 Green Valley Road,Sinking Spring, PA 19608",[6106853900],https://www.wedding-spot.com/venue/3652/green-valley-chateau/,Green Valley Chateau
[225],"Indoor and outdoor spaces,BYO,Valet parking","5358 York Road,Holicong, PA 18928",[2157944319],https://www.wedding-spot.com/venue/3886/ash-mill-farm-bed-breakfast/,Ash Mill Farm Bed & Breakfast
[100],"Upgraded rentals included,Rentals included,Upgraded rentals included","303 Lexington Avenue,New York, NY 10016",[6464242621],https://www.wedding-spot.com/venue/14197/the-shelburne-hotel-suites/,The Shelburne Hotel & Suites
[200],"BYO,Valet parking,BYO","538 East 11th Street,New York, NY 10009",[2123881111],https://www.wedding-spot.com/venue/9524/bathhouse-studios/,Bathhouse Studios
[500],"Valet parking,Valet parking","135 W 18th Street,New York, NY 10011",[2122171206],https://www.wedding-spot.com/venue/2483/the-altman-building/,The Altman Building
[300],"BYO,Valet parking,BYO","1489 Dekalb Pike ,Blue Bell, PA 19422",[6106668112],https://www.wedding-spot.com/venue/3646/the-empress-room/,The Empress Room
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","216 Duffield Street,Brooklyn, NY 11201",[9179602688],https://www.wedding-spot.com/venue/8645/kimoto-rooftop/,Kimoto Rooftop
[150],"BYO,Valet parking,BYO","Old Iron Gate,Adjacent to #43 2nd Ave",[5169227345],https://www.wedding-spot.com/venue/2380/new-york-marble-cemetery/,New York Marble Cemetery
[300],"Upgraded rentals included,Rentals included,Upgraded rentals included","3549 Chestnut Street,Philadelphia, PA 19104",[2153878000],https://www.wedding-spot.com/venue/9740/sheraton-university-city-hotel/,Sheraton University City Hotel
[1200],"Indoor and outdoor spaces,Rentals included,Valet parking","877 Main Street,Holbrook, NY 11741",[6314716609],https://www.wedding-spot.com/venue/12110/villa-lombardis/,Villa Lombardi's
[166],"2x award winner,Indoor and outdoor spaces,Rentals included","184 North 10th Street,Brooklyn, NY 11211",[7185997007],https://www.wedding-spot.com/venue/226/mymoon-restaurant-event-venue/,MyMoon Restaurant & Event Venue
[200],"Accommodation offered,Rentals included,Valet parking","707 East Lancaster Avenue,Frazer, PA 19355",[6102802592],https://www.wedding-spot.com/venue/793/sheraton-great-valley/,Sheraton Great Valley
[600],"Indoor and outdoor spaces,Rentals included,Valet parking","Ellis Island,Jersey City, NY 07305",[2123440996],https://www.wedding-spot.com/venue/1683/ellis-island-statue-of-liberty/,Ellis Island & Statue of Liberty
[220],"Indoor and outdoor spaces,Rentals included,Valet parking","599 Market Street,Philadelphia, PA 19106",[2159652300],https://www.wedding-spot.com/venue/1764/the-liberty-view/,The Liberty View
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","43-34 32nd Place,Long Island City, NY 11101",[7183896252],https://www.wedding-spot.com/venue/1799/cityview-racquet-club/,CityView Racquet Club
[150],"BYO,BYO"," 1065 Pacific Street,Brooklyn, NY 11238",[9175690145],https://www.wedding-spot.com/venue/10059/brooklyn-ballroom/,Brooklyn Ballroom
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","4610 Bensalem Boulevard,Bensalem, PA 19020",[2156338395],https://www.wedding-spot.com/venue/3553/la-luna-banquet-hall/,La Luna Banquet Hall
[300],"BYO,Rentals included,Valet parking","116 10th Avenue,New York, NY 10011",[2123370054],https://www.wedding-spot.com/venue/5662/avenue-new-york/,Avenue New York
[350],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","118 North Broad Street,Philadelphia, PA 19102",[2159721609],https://www.wedding-spot.com/venue/1553/pennsylvania-academy-of-the-fine-arts/,Pennsylvania Academy of the Fine Arts
[500],,"201 S. Christopher Columbus Blvd.,Philadelphia, PA 19106",[2155216524],https://www.wedding-spot.com/venue/3332/hilton-philadelphia-at-penns-landing/,Hilton Philadelphia at Penn's Landing
[200],"Upgraded rentals included,Rentals included,Valet parking","10007 4th Avenue,Brooklyn, NY 11209",[9172545915],https://www.wedding-spot.com/venue/8634/encore-restaurant/,Encore Restaurant
[150],"Rentals included,Valet parking,Rentals included","1735 Market Street,Philadelphia, PA 19103",[2159793128],https://www.wedding-spot.com/venue/900/pyramid-club/,Pyramid Club
[500],"Award winner,Indoor and outdoor spaces,Upgraded rentals included","214 Jericho Turnpike,New Hyde Park, NY 11040",[5163547797],https://www.wedding-spot.com/venue/280/the-inn-at-new-hyde-park/,The Inn at New Hyde Park
[250],"BYO,Valet parking,BYO","36 Battery Place ,New York, NY 10280",[6464374206],https://www.wedding-spot.com/venue/8326/museum-of-jewish-heritage/,Museum of Jewish Heritage
[100],"Rentals included,Valet parking,Rentals included","115 Allen Street,New York, NY 10002",[6465583219],https://www.wedding-spot.com/venue/8642/hill-and-dale/,Hill and Dale
[150],"Indoor and outdoor spaces,Rentals included,Valet parking","530 Pennsylvania Avenue,Fort Washington, PA 19034",[2156464637],https://www.wedding-spot.com/venue/4010/hilton-garden-inn-philadephia-fort-washington/,Hilton Garden Inn Philadephia/Fort Washington
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","6 Times Square,New York, NY 10036",[2122044980],https://www.wedding-spot.com/venue/4589/charlie-palmer-at-the-knick/,Charlie Palmer at The Knick
[120],"Indoor and outdoor spaces,BYO,Valet parking","1630 Latimer Street,Philadelphia, PA 19103",[2157356737],https://www.wedding-spot.com/venue/6275/nscda-pa/,NSCDA PA
[1500],"BYO,Valet parking,BYO","224 12th Avenue,New York, NY 10001",[2126958090],https://www.wedding-spot.com/venue/2230/the-waterfront/,The Waterfront
[380],"Award winner,Rentals included,Valet parking","240 West 47th Street,New York, NY 10036",[2122017650],https://www.wedding-spot.com/venue/1605/edison-ballroom/,Edison Ballroom
[100],"BYO,Valet parking,BYO","279 Starr Street,Brooklyn, NY 11237",[9178658660],https://www.wedding-spot.com/venue/266/bat-haus/,Bat Haus
[85],"BYO,Valet parking,BYO"," Dean Street,Brooklyn, NY 11238",[9175690145],https://www.wedding-spot.com/venue/8655/brooklyn-party-space/,Brooklyn Party Space
[300],"Indoor and outdoor spaces,BYO,Valet parking","82 Fort Mifflin Road,Philadelphia, PA 19153",[2156854168],https://www.wedding-spot.com/venue/6195/fort-mifflin-on-the-delaware/,Fort Mifflin on the Delaware
[200],"BYO,Valet parking,BYO","95 Prospect Park West,Brooklyn, NY 11215",[7187413836],https://www.wedding-spot.com/venue/1817/prospect-park-zoo/,Prospect Park Zoo
[125],"Indoor and outdoor spaces,BYO,Rentals included","287 10th Avenue,Chelsea, NY 10001",[2123370054],https://www.wedding-spot.com/venue/5663/287-gallery/,287 Gallery
[250],"Upgraded rentals included,Rentals included,Valet parking","31 Union Square West,New York, NY 10003",[2123310313],https://www.wedding-spot.com/venue/8676/blue-water-grill/,Blue Water Grill
[850],"Upgraded rentals included,Rentals included,Valet parking","25 Broadway,New York, NY 10004",[6463008159],https://www.wedding-spot.com/venue/5077/cipriani-25-broadway/,Cipriani 25 Broadway
[120],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","420 Park Avenue South,New York, NY 10016",[6463805260],https://www.wedding-spot.com/venue/555/gansevoort-park-avenue/,Gansevoort Park Avenue
[144],"Indoor and outdoor spaces,BYO,Rentals included","9601 Germantown Avenue,Philadelphia, PA 19118",[2152487146],https://www.wedding-spot.com/venue/4258/chestnut-hill-college/,Chestnut Hill College
[300],"Rentals included,Rentals included","421 West 13th Street,New York, NY 10014",[2126457777],https://www.wedding-spot.com/venue/11747/valbella/,Valbella
[300],"Indoor and outdoor spaces,Rentals included,Valet parking","99 Wanamaker Avenue,Essington, PA 19029",[4844945060],https://www.wedding-spot.com/venue/4199/lazaretto-ballroom/,Lazaretto Ballroom
[200],"Rentals included,Valet parking,Rentals included","254 West 54th Street,New York, NY 10019",[2123025559],https://www.wedding-spot.com/venue/1774/54-below/,54 Below
[250],"Rentals included,Valet parking,Rentals included","Private Estate,Address withheld for privacy",[9177659616],https://www.wedding-spot.com/venue/13606/ballroom/,Ballroom
[220],"Rentals included,Valet parking,Rentals included","75 Wall Street,New York, NY 10005",[2125901234],https://www.wedding-spot.com/venue/5367/hyatt-centric-wall-street-new-york/,Hyatt Centric Wall Street New York
[350],"BYO,Valet parking,BYO"," 101 South Independence Mall East,Philadelphia, PA 19106",[6108583008],https://www.wedding-spot.com/venue/3654/national-museum-of-american-jewish-history/,National Museum of American Jewish History
[850],"Upgraded rentals included,Rentals included,Valet parking","110 East 42nd Street,New York, NY 10017",[6467230826],https://www.wedding-spot.com/venue/5076/cipriani-42nd-street/,Cipriani 42nd Street
[230],"Rentals included,Valet parking,Rentals included","2706 Blacklake Place ,Philadelphia, PA 19154",[2156763596],https://www.wedding-spot.com/venue/3467/blacklake-room/,Blacklake Room
[200],"Indoor and outdoor spaces,BYO,Rentals included","3368 Harvest Drive,Gordonville, PA 17529",[7173039249],https://www.wedding-spot.com/venue/9743/scenic-village-at-harvest-drive/,Scenic Village At Harvest Drive
[250],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","145 East 50th Street,New York, NY 10022",[2127021685],https://www.wedding-spot.com/venue/11677/the-kimberly-hotel/,The Kimberly Hotel
[200],"Award winner,Rehearsal dinner and bridal shower,BYO","128 Pierrepont Street,Brooklyn, NY 11201",[7182302160],https://www.wedding-spot.com/venue/275/center-for-brooklyn-history-bookings-paused-till-march-2023/,Center for Brooklyn History (BOOKINGS PAUSED TILL MARCH 2023)
[800],"Award winner,Indoor and outdoor spaces,Rentals included","36-08 33rd Street,Long Island City, NY 11106",[7182556921],https://www.wedding-spot.com/venue/5537/melrose-ballroom/,Melrose Ballroom
[900],"Rentals included,Valet parking,Rentals included","479 Washington Boulevard,Jersey City, NJ 07310",[1201253240],https://www.wedding-spot.com/venue/590/the-westin-jersey-city-newport/,The Westin Jersey City Newport
[12],"Indoor and outdoor spaces,Rentals included,Valet parking","1500 Harbor Boulevard,Weehawken, NJ 07086",[2125346380],https://www.wedding-spot.com/venue/1631/yachts-for-all-seasons-justine/,Yachts For All Seasons: Justine
[330],"Indoor and outdoor spaces,Rentals included,Valet parking","1131 Pompton Avenue,Cedar Grove, NJ 07009",[9732569300],https://www.wedding-spot.com/venue/662/il-tulipano/,Il Tulipano
[1200],"Indoor and outdoor spaces,Rentals included,Valet parking","Shipyard Marina,1301 Sinatra Drive",[2125346380],https://www.wedding-spot.com/venue/1619/yachts-for-all-seasons-cornucopia-majesty/,Yachts For All Seasons: Cornucopia Majesty
[200],"Rentals included,Valet parking,Rentals included","225 River Street,Hoboken, NJ 07030",[2012532400],https://www.wedding-spot.com/venue/704/w-hoboken/,W Hoboken
[350],"Indoor and outdoor spaces,Rentals included,Valet parking","1500 Harbor Boulevard,Weehawken, NJ 07086",[2125346380],https://www.wedding-spot.com/venue/1648/yachts-for-all-seasons-spirit-new-jersey/,Yachts For All Seasons: Spirit New Jersey
[100],"Rentals included,Valet parking,Rentals included","4800 Avenue at Port Imperial,Weehawken, NJ 07086",[2125346380],https://www.wedding-spot.com/venue/1623/yachts-for-all-seasons-festiva/,Yachts For All Seasons: Festiva
[300],"BYO,Valet parking,BYO","1075 Morris Avenue,Union, NJ 07083",[9087374730],https://www.wedding-spot.com/venue/3159/liberty-hall-museum/,Liberty Hall Museum
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","350 Pleasant Valley Way,West Orange, NJ 07052",[8622528516],https://www.wedding-spot.com/venue/3102/loft-at-350/,Loft at 350
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","5266 Berkshire Valley Road,Oak Ridge, NJ 07438",[9736979704],https://www.wedding-spot.com/venue/1959/casa-bianca/,Casa Bianca
[325],"Indoor and outdoor spaces,Upgraded rentals included,Rentals included","50 Stirling Road,Warren, NJ 07059",[8666833586],https://www.wedding-spot.com/venue/1313/stone-house-at-stirling-ridge/,Stone House at Stirling Ridge
[325],"Award winner,Indoor and outdoor spaces,Rentals included","76 Audrey Zapp Drive,Jersey City, NJ 07305",[8666833586],https://www.wedding-spot.com/venue/1890/liberty-house/,Liberty House
[500],"BYO,Upgraded rentals included,Valet parking","176 Cooper Avenue,Upper Montclair, NJ 07043",[9732649452],https://www.wedding-spot.com/venue/14855/weddings-at-union/,Weddings at Union
[450],"3x award winner,Accommodation offered,Indoor and outdoor spaces","350 Pleasant Valley Way,West Orange, NJ 07052",[8622528516],https://www.wedding-spot.com/venue/1570/the-wilshire-caterers/,The Wilshire Caterers
[200],"Indoor and outdoor spaces,Rentals included,Valet parking","9 Perimeter Road,Kinnelon, NJ 07405",[9738387770],https://www.wedding-spot.com/venue/3168/smoke-rise-village-inn/,Smoke Rise Village Inn
[250],"Award winner,Indoor and outdoor spaces,Rentals included","1700 Harbor Boulevard,Weehawken, NJ 07086",[2013486401],https://www.wedding-spot.com/venue/1429/chart-house-weehawken/,Chart House Weehawken
[400],"Indoor and outdoor spaces,BYO,Indoor and outdoor spaces","740 Saginaw Road,Oxford, PA 19363",[8564286256],https://www.wedding-spot.com/venue/9802/camp-saginaw/,Camp Saginaw
[150],,"15 East 18th Street,New York, NY 10003",[2122285400],https://www.wedding-spot.com/venue/9806/tarallucci-e-vino-union-square/,Tarallucci E Vino- Union Square
[280],"Rentals included,Valet parking,Rentals included","12273 Townsend Road,Philadelphia, PA 19154",[2156763596],https://www.wedding-spot.com/venue/3471/townsend-room/,Townsend Room
[360],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","27-34 21st Street,Long Island City, NY 11102",[7182744590],https://www.wedding-spot.com/venue/274/renaissance-event-hall/,Renaissance Event Hall
[380],"Rentals included,Valet parking,Rentals included","635 West 42nd Street,New York, NY 10036",[3477836915],https://www.wedding-spot.com/venue/2252/cnvs-event-venue-midtown-nyc/,CNVS Event Venue Midtown NYC
[250],"Rehearsal dinner and bridal shower,Accommodation offered,Rentals included","943 South High Street,West Chester, PA 19382",[6106929273],https://www.wedding-spot.com/venue/4227/quality-inn-and-suites-west-chester/,Quality Inn and Suites West Chester
[150],"BYO,Valet parking,BYO","265 West 37th Street,17th floor",[6465585860],https://www.wedding-spot.com/venue/1785/studio-arte/,Studio Arte
[300],"BYO,Valet parking,BYO","85 South Oxford Street,Brooklyn, NY 11217",[7184889233],https://www.wedding-spot.com/venue/246/irondale-center/,Irondale Center
[300],"Rentals included,Valet parking,Rentals included","2980 Southampton Road,Philadelphia, PA 19154",[2156763596],https://www.wedding-spot.com/venue/3469/southhampton-room/,Southhampton Room
[100],"BYO,Valet parking,BYO","114 West 116th Street,New York, NY 10026",[7188326603],https://www.wedding-spot.com/venue/3287/suite-116/,Suite 116
[100],"BYO,Valet parking,BYO","81 Seigel Street,Brooklyn, NY 11206",[9293830898],https://www.wedding-spot.com/venue/9305/marte-hall/,Marte Hall
[250],"Indoor and outdoor spaces,Rentals included,Valet parking","815 North Pottstown Pike,Exton, PA 19341",[4848792506],https://www.wedding-spot.com/venue/822/exton-hotel-and-conference-center-at-exton-pa/,"Exton Hotel and Conference Center at Exton, Pa"
[70],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","107 Rivington Street,New York, NY 10002",[2124752600],https://www.wedding-spot.com/venue/12594/hotel-on-rivington/,Hotel On Rivington
[150],"Rentals included,Valet parking,Rentals included","125 Route 17 South,East Rutherford, NJ 07073",[2014609030],https://www.wedding-spot.com/venue/13194/homewood-suites-by-hilton/,Homewood Suites By Hilton
[200],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1500 Harbor Boulevard,Weehawken, NJ 07086",[2036370270],https://www.wedding-spot.com/venue/7216/nautical-holidays-atlantica/,Nautical Holidays: Atlantica
[250],"Upgraded rentals included,Rentals included,Valet parking","375 Mt Hope Avenue,Rockaway Townsquare",[9733282507],https://www.wedding-spot.com/venue/6533/hilton-garden-inn-rockaway/,Hilton Garden Inn Rockaway
[80],"Indoor and outdoor spaces,Valet parking,Indoor and outdoor spaces","1500 Harbor Boulevard,Weehawken, NJ 07086",[2036370270],https://www.wedding-spot.com/venue/7226/nautical-holidays-mariner-iii/,Nautical Holidays: Mariner III
[1100],"Indoor and outdoor spaces,Rentals included,Valet parking","300 Brae Boulevard,Park Ridge, NJ 07656",[2013074884],https://www.wedding-spot.com/venue/6810/park-ridge-marriott/,Park Ridge Marriott
[120],"Valet parking,Valet parking","Forest Road Park,Fanwood, NJ 07023",[9083707092],https://www.wedding-spot.com/venue/13677/forest-road-park-building/,Forest Road Park Building
